"name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1981 Beechcraft 
 King Air C90 ","  ","2 P&W PT6A-21 ","N/A ","N/A ","550-shp each engine ","N/A ","Constant Speed ","  ","  ","384 gallons ","JP-4; JP-5; Jet A; Jet A-1; Jet B ","Unknown ","  ","9,650/9,168 lbs. ","N/A ","5,765 lbs. ","3,885 lbs. ","N/A ","350 lbs. ","2.8 gallons each engine ","  ","208 Knots ","N/A ","89 Knots ","76 Knots ","1955 FPM at 9,650 lbs. 
2520 FPM at 8,000 lbs. ","32.8 lbs./sq. ft. ","8.8 lbs./hp ","28,100 ft. at 9,650 lbs. 
30,700 ft. at 8,000 lbs. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Recommended Engine Fuels ","Fuel Burn-Maximum Cruise Power at ISA ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Max Operating Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1982 Beechcraft 
King Air F90 ","  ","2 P&W PT6A-135 ","N/A ","N/A ","750-shp each ","N/A ","Constant Speed ","  ","  ","473 gallons ","JP-4; JP-5; Jet A; Jet A-1; Jet B ","S.L.- 866 lbs./hr 
12,000 ft- 750 lbs./hr 
24,000 ft- 504 lbs./hr 
31,000 ft- 394 lbs./hr ","  ","10,950 lbs. ","N/A ","6,549 lbs. ","4,401 lbs. ","N/A ","403 lbs. ","2.3 gallons each engine ","  ","253 KIAS 
Up to 12,600 ft. ","N/A ","94 Knots ","77 Knots ","2380 FPM at 10,950 lbs. 
3108 FPM at 9,000 lbs. ","39.1 lbs./sq. ft. ","7.3 lbs./hp ","29,802 ft. at 10,950 lbs. 
+31,000 ft. at 9,000 lbs. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Recommended Engine Fuels ","Fuel Burn-Maximum Cruise Power at ISA ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Max Operating Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Recommended Engine Fuels ","Fuel Burn-Maximum Cruise Power at ISA ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Max Operating Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Recommended Engine Fuels ","Fuel Burn-Maximum Cruise Power at ISA ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Max Operating Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1974 Beechcraft 
Super King Air 200 ","  ","2 P&W PT6A-41 ","N/A ","N/A ","850-shp each engine ","N/A ","Constant Speed ","  ","  ","549 gallons ","JP-4; JP-5; JP-8; Jet A; Jet A-1; Jet B ","S.L.- 1016 lbs./hr 
12,000 ft- 890 lbs./hr 
24,000 ft- 620 lbs./hr 
33,000 ft- 436 lbs./hr ","  ","12,500 lbs. ","N/A ","Unknown ","Unknown ","N/A ","370 lbs. with fold up seats 
410 lbs. without fold up seats ","2.5 gallons each engine ","  ","270 KCAS up to 8,500 ft. 
260 KCAS up to 15,000 ft. ","N/A ","99 Knots ","75 Knots ","2450 FPM at 12,500 lbs. 
2850 FPM at 11,000 lbs. ","41.3 lbs./sq. ft. ","7.4 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Recommended Engine Fuels ","Fuel Burn-Maximum Cruise Power at ISA ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Max Operating Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1982 Beechcraft 
Super King Air B200 ","  ","2 P&W PT6A-42 ","N/A ","N/A ","850-shp each engine ","N/A ","Constant Speed ","  ","  ","549 gallons ","JP-4; JP-5; JP-8; Jet A; Jet A-1; Jet B ","Unknown ","  ","12,500 lbs. ","N/A ","7,538 lbs. ","4,962 lbs. ","N/A ","410 lbs. ","2.5 gallons each engine ","  ","270 KCAS up to 8,500 ft. 
260 KCAS up to 15,000 ft. ","N/A ","99 Knots ","75 Knots ","2450 FPM at 12,500 lbs. 
2868 FPM at 11,000 lbs. ","41.3 lbs./sq. ft. ","7.4 lbs./hp ","+35,000 ft. at 12,500 lbs. 
+35,000 ft. at 11,000 lbs. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1946 Cessna 120 ","  ","Cont. C-85-12 ","4 ","188 cu. in. ","85 ","Carbureted ","Fixed Pitch ","  ","  ","25 gallons ","80 ","Unknown ","  ","N/A ","1,450 lbs. ","785 lbs. ","N/A "," 665 lbs. ","80 lbs. ","4.5 quarts ","  ","122 Knots ","Unavailable ","32 Knots ","N/A ","640 FPM ","8.1 lbs./sq. ft. ","17 lbs./hp ","15,500 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1946 Cessna 140 ","  ","Cont. C-85-12 ","4 ","188 cu. in. ","85 ","Carbureted ","Fixed Pitch ","  ","  ","25 gallons ","80 ","Unknown ","  ","N/A ","1,450 lbs. ","860 lbs. ","N/A ","590 lbs. ","80 lbs. ","5 quarts ","  ","122 Knots ","Unavailable ","43 Knots ","34 Knots ","640 FPM ","8.1 lbs./sq. ft. ","17 lbs./hp ","15,500 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1949 Cessna 140A ","  ","Cont. C-90 ","4 ","Unavailable ","85 ","Carbureted ","Fixed Pitch ","  ","  ","25 gallons                       ","80 ","5.6 gallons ","  ","N/A ","1,500 lbs. ","810 lbs. ","N/A. ","690 lbs. ","80 lbs. ","4.5 quarts ","  ","122 Knots ","100 Knots ","43 Knots ","34 Knots ","640 FPM ","8.1 lbs./sq. ft. ","17 lbs./hp ","15,500 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1959 Cessna 150 ","  ","Cont. O-200-A ","4 ","200 cu. in. ","100 ","Carbureted ","Fixed Pitch ","  ","  ","26 gallons 
Long Range Tanks: 42 gallons ","80 ","Unknown ","  ","N/A ","1,500 lbs. ","985  lbs. ","N/A ","515 lbs. ","80 lbs. ","6 quarts ","  ","136 KCAS ","104 KCAS ","48 KCAS ","42 KCAS ","670 FPM ","10 lbs./sq. ft. ","15 lbs./hp ","15,300 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1968 Cessna 150H ","  ","Cont. O-200-A ","4 ","200 cu. in. ","100 ","Carbureted ","Fixed Pitch ","  ","  ","26 gallons 
Long Range Tanks: 38 gallons                              ","80 ","About 5.6 gallons ","  ","N/A ","1,600 lbs. ","980 lbs. ","N/A ","620 lbs. ","120 lbs. ","6 quarts ","  ","141 KCAS ","104 KCAS ","48 KCAS ","42 KCAS ","670 FPM ","10.2 lbs./sq. ft. ","16 lbs./hp ","12,650 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1977 Cessna 150M ","  ","Cont. O-200-A ","4 ","201 cu. in. ","100 ","Carbureted ","Fixed Pitch ","  ","  ","26 gallons 
Long range tanks: 38 gallons ","80 ","Unknown ","  ","N/A ","1,600 lbs. ","1,111 lbs. ","N/A ","489 lbs. ","120 lbs. ","7 quarts ","  ","141 KCAS ","104 KCAS ","48 KCAS ","42 KCAS ","670 FPM ","10 lbs./sq. ft. ","16 lbs./hp ","14,000 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1978 Cessna 152 ","  ","Lyc. O-235-L2C ","4 ","235 cu. in. ","110 ","Carbureted ","Fixed Pitch ","  ","  ","26 gallons 
Long Range Tanks: 39 gallons ","100 ","6.1 gallons ","  ","N/A ","1,670 lbs. ","1,081 lbs. ","N/A ","589 lbs. ","120 lbs. ","7 quarts ","  ","149 KIAS ","111 KIAS ","48 Knots ","43 Knots ","715 FPM ","10.5 lbs./sq. ft. ","15.2 lbs./hp ","14,700 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1985 Cessna 152 ","  ","Lyc. O-235-N2C ","4 ","235 cu. in. ","110 ","Carbureted ","Fixed Pitch ","  ","  ","26 gallons 
Long range tanks:            39 gallons ","100 ","Unknown ","  ","N/A ","1,675 lbs. ","1,109 lbs. ","N/A ","566 lbs. ","120 lbs. ","7 quarts ","  ","149 KIAS ","111 KIAS ","48 Knots ","43 Knots ","715 FPM ","10.5 lbs./sq. ft. ","15.5 lbs./hp ","14,700 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1956 Cessna 170B ","  ","Cont. O-300-A ","6 ","301 cu. in. ","145 ","Carbureted ","Fixed Pitch ","  ","  ","42 gallons ","80 ","9.6 gallons ","  ","2,200 lbs. ","1,900 lbs. ","1,260 lbs. ","940 lbs. ","640 lbs. ","120 lbs. ","8 quarts ","  ","139 Knots ","122 Knots ","50 Knots ","45 Knots ","690 FPM ","Unknown ","Unknown ","15,500 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1965 172F (Skyhawk) ","  ","Cont. O-300-C/D ","6 ","300 cu. in. ","145 ","Carbureted ","Fixed Pitch ","  ","  ","39 gallons 
With Auxiliary Tank: 57 gallons ","80 ","About 8.5 gallons ","  ","2,300 lbs. ","2,000 lbs. ","1,260 lbs. ","1,040 lbs. ","740 lbs. ","120 lbs. ","8 quarts ","  ","151 KCAS ","122 KCAS ","50 Knots ","43 Knots ","645 FPM ","13.2 lbs./sq. ft. ","15.9 lbs./hp ","13,000 ft ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1977 172N (Skyhawk) ","  ","Lyc. O-320-H2AD ","4 ","320 cu. in ","160 ","Carbureted ","Fixed Pitch ","  ","  ","43 gallons 
Long Range Tanks: 54 gallons                              ","100 ","About 8.4 gallons ","  ","2,300 lbs. ","2,000 lbs. ","1,379 lbs. ","921 lbs. ","621 lbs. ","120 lbs. ","7 quarts ","  ","158 KCAS ","126 KCAS ","50 KCAS ","44 KCAS ","770 FPM ","13.2 lbs./sq. ft. ","14.4 lbs./hp ","14,200 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
